EN,SV,PLURAL
Batch item record deletion,Batch item record deletion,Batch item record deletion
cancelled,cancelled,cancelled
created from a list,created from a list,created from a list
RealTimeHoldsQueue,RealTimeHoldsQueue,RealTimeHoldsQueue
holds queue,holds queue,holds queue
Staged MARC records for import,Staged MARC records for import,Staged MARC records for import
Import MARC records,Import MARC records,Import MARC records
manage\_marc\_frameworks permission,manage\_marc\_frameworks permission,manage\_marc\_frameworks permission
editing fields and subfields,editing fields and subfields,editing fields and subfields
MARC bibliographic framework test,MARC bibliographic framework test,MARC bibliographic framework test
advancedMARCeditor,advancedMARCeditor,advancedMARCeditor
importing records,importing records,importing records
ApplyFrameworkDefaults,ApplyFrameworkDefaults,ApplyFrameworkDefaults
Koha to MARC mapping,Koha to MARC mapping,Koha to MARC mapping
authority catalog,authority catalog,authority catalog
Authority types,Authority types,Authority types
cataloguing plugin,cataloguing plugin,cataloguing plugin
cataloging section,cataloging section,cataloging section
upload files to Koha to link to your records,upload files to Koha to link to your records,upload files to Koha to link to your records
cataloging with the basic editor,cataloging with the basic editor,cataloging with the basic editor
editing fields and subfields in frameworks,editing fields and subfields in frameworks,editing fields and subfields in frameworks
using the instructions above,using the instructions above,using the instructions above
a new framework,a new framework,a new framework
make any changes,make any changes,make any changes
manage\_classifications permission,manage\_classifications permission,manage\_classifications permission
filing rule,filing rule,filing rule
splitting rule,splitting rule,splitting rule
Classification sources,Classification sources,Classification sources
creating or editing a classification source,creating or editing a classification source,creating or editing a classification source
label layout,label layout,label layout
manage\_matching\_rules permission,manage\_matching\_rules permission,manage\_matching\_rules permission
Stage MARC records for import,Stage MARC records for import,Stage MARC records for import
Koha search indexes,Koha search indexes,Koha search indexes
manage\_record\_sources permission,manage\_record\_sources permission,manage\_record\_sources permission
edit\_locked\_records permission,edit\_locked\_records permission,edit\_locked\_records permission
manage\_marc\_overlay\_rules permission,manage\_marc\_overlay\_rules permission,manage\_marc\_overlay\_rules permission
manage\_oai\_sets permission,manage\_oai\_sets permission,manage\_oai\_sets permission
item search,item search,item search
manage\_item\_search\_fields permission,manage\_item\_search\_fields permission,manage\_item\_search\_fields permission
SavedSearchFilters,SavedSearchFilters,SavedSearchFilters
manage\_search\_filters permission,manage\_search\_filters permission,manage\_search\_filters permission
searching the catalog through the staff interface,searching the catalog through the staff interface,searching the catalog through the staff interface
advanced search form,advanced search form,advanced search form
manage\_search\_engine\_config permission,manage\_search\_engine\_config permission,manage\_search\_engine\_config permission
Elasticsearch indexes,Elasticsearch indexes,Elasticsearch indexes
Searching,Searching,Searching
search fields tab,search fields tab,search fields tab
browse search,browse search,browse search
facets,facets,facets
add the search field,add the search field,add the search field
add mappings to that search field,add mappings to that search field,add mappings to that search field
add mappings,add mappings,add mappings
delete mappings,delete mappings,delete mappings
currencies\_manage permission,currencies\_manage permission,currencies\_manage permission
staging tools,staging tools,staging tools
funds,funds,funds
period\_manage permission,period\_manage permission,period\_manage permission
budget\_add\_del,budget\_add\_del,budget\_add\_del
budget\_manage,budget\_manage,budget\_manage
budget\_modify,budget\_modify,budget\_modify
period\_manage,period\_manage,period\_manage
from scratch,from scratch,from scratch
duplicating the previous year's budget,duplicating the previous year's budget,duplicating the previous year's budget
add funds,add funds,add funds
add sub funds,add sub funds,add sub funds
plan spending,plan spending,plan spending
edit the budget,edit the budget,edit the budget
close the previous budget,close the previous budget,close the previous budget
duplicate the previous year's budget,duplicate the previous year's budget,duplicate the previous year's budget
deleting the funds,deleting the funds,deleting the funds
make it inactive,make it inactive,make it inactive
close it,close it,close it
add a budget,add a budget,add a budget
budget\_modify permission,budget\_modify permission,budget\_modify permission
order\_manage\_all permission,order\_manage\_all permission,order\_manage\_all permission
report,report,report
Planning category FAQ,Planning category FAQ,Planning category FAQ
adding a new fund,adding a new fund,adding a new fund
planning\_manage permission,planning\_manage permission,planning\_manage permission
budget\_manage permission,budget\_manage permission,budget\_manage permission
EDIFACT,EDIFACT,EDIFACT
edi\_manage permission,edi\_manage permission,edi\_manage permission
vendor set up in acquisitions,vendor set up in acquisitions,vendor set up in acquisitions
EDI questions for vendors,EDI questions for vendors,EDI questions for vendors
acquisitions module chapter,acquisitions module chapter,acquisitions module chapter
manage\_identity\_providers permission,manage\_identity\_providers permission,manage\_identity\_providers permission
add more domains to this provider,add more domains to this provider,add more domains to this provider
patron category,patron category,patron category
